record - header - identifier,dc:contributor[@element=contributor][@qualifier=author],dc:date[@element=date][@qualifier=accessioned],dc:date[@element=date][@qualifier=available],dc:date[@element=date][@qualifier=issued],dc:identifier[@element=identifier][@qualifier=uri],dc:description[@element=description][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en],dc:description[@element=description][@qualifier=provenance][@language=en],dc:format[@element=format][@qualifier=extent],dc:format[@element=format][@qualifier=mimetype],dc:language[@element=language][@qualifier=iso],dc:subject[@element=subject][@language=en],dc:title[@element=title][@language=en],dc:type[@element=type][@language=en],dc:subject[@element=subject],dc:description[@element=description][@qualifier=sponsorship][@language=en],dc:language[@element=language][@qualifier=iso][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en_US],dc:language[@element=language][@qualifier=iso][@language=en_US],dc:subject[@element=subject][@language=en_US],dc:title[@element=title][@language=en_US],dc:type[@element=type][@language=en_US],dc:description[@element=description][@language=en_US],dc:description[@element=description][@qualifier=sponsorship][@language=en_US],dc:description[@element=description],dc:relation[@element=relation][@qualifier=ispartofseries][@language=en_US],dc:title[@element=title][@qualifier=alternative][@language=en_US],dc:contributor[@element=contributor][@qualifier=author][@language=en_US],dc:date[@element=date][@qualifier=issued][@language=en_US],dc:contributor[@element=contributor][@qualifier=advisor],dc:contributor[@element=contributor][@qualifier=other],dc:description[@element=description][@qualifier=abstract],dc:publisher[@element=publisher][@language=en_US],dc:rights[@element=rights][@language=*],dc:rights[@element=rights][@qualifier=uri][@language=*],dc:contributor[@element=contributor][@qualifier=chair],dc:identifier[@element=identifier][@qualifier=doi],dc:identifier[@element=identifier][@qualifier=doi][@language=en_US],dc:description[@element=description][@qualifier=provenance]
oai:ecommons.cornell.edu:1813/14231,"Oh, Anna",2010-01-04T21:01:13Z,2010-01-04T21:01:13Z,2009-05,http://hdl.handle.net/1813/14231,,,"Made available in DSpace on 2010-01-04T21:01:13Z (GMT). No. of bitstreams: 1
AnnaOhFinalThesis1.pdf: 395269 bytes, checksum: b128dd619c8542d2b68600409ee95001 (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,Insuring Against Another Enron: The Role of Cross-listing Status of Canadian Firms on the Purchase of Directors' and Officers' Insurance in the aftermath of Sarbanes-Oxley Act of 2002,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14232,"Eisenberg, Matthew",2010-01-04T21:05:39Z,2010-01-04T21:05:39Z,2009-05,http://hdl.handle.net/1813/14232,,,"Made available in DSpace on 2010-01-04T21:05:39Z (GMT). No. of bitstreams: 1
EisenbergMatthewFinalThesis.pdf: 437867 bytes, checksum: caeb05ef17e41e4d4b1727ffe122f0c9 (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,The Impact of Over the Counter (OTC) Weight Loss Product Television Advertisements on the Consumption of OTC Weight Loss Products and Other Diet- Related Behaviors,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14233,"Asmat, Danial",2010-01-04T21:07:33Z,2010-01-04T21:07:33Z,2009-05,http://hdl.handle.net/1813/14233,,,"Made available in DSpace on 2010-01-04T21:07:33Z (GMT). No. of bitstreams: 1
DanialAsmatFinalThesis.pdf: 406461 bytes, checksum: cf37fef617fdab798eb8dca435c9301f (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,Bad Faith Litigation in First Party Automobile Insurance: An Empirical Study,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14234,"Phillips, Elizabeth",2010-01-04T21:13:33Z,2010-01-04T21:13:33Z,2009-05,http://hdl.handle.net/1813/14234,,,"Made available in DSpace on 2010-01-04T21:13:33Z (GMT). No. of bitstreams: 1
ElizabethPhillipsFinalThesis.pdf: 993139 bytes, checksum: a1a9d7f7f9e94c94551b330d671c5f80 (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,The Effect of Tenure on Teacher Performance in Secondary Education,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14235,"Reilly, Kristen",2010-01-04T21:15:45Z,2010-01-04T21:15:45Z,2009-05,http://hdl.handle.net/1813/14235,,,"Made available in DSpace on 2010-01-04T21:15:45Z (GMT). No. of bitstreams: 1
KristenReillyFinalThesis1.pdf: 636090 bytes, checksum: 0d61aed3521786875d6727185f02386b (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,"The Economic Consequences of Divorce: The Role of Child Support, Labor Force Participation and Means Tested Transfers over Time",Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14236,"Hartmann, Elizabeth",2010-01-04T21:19:26Z,2010-01-04T21:19:26Z,2009-05,http://hdl.handle.net/1813/14236,,,"Made available in DSpace on 2010-01-04T21:19:26Z (GMT). No. of bitstreams: 1
LizHartmannFinalThesis.pdf: 730083 bytes, checksum: 4aff6c08a263b0774384848e8c02636e (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,The Tempo of Relationship Progression among Low-Income Couples,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14237,"Sadan, Shir",2010-01-04T21:21:25Z,2010-01-04T21:21:25Z,2009-05,http://hdl.handle.net/1813/14237,,,"Made available in DSpace on 2010-01-04T21:21:25Z (GMT). No. of bitstreams: 1
ShirSadanFinalThesis1.pdf: 464861 bytes, checksum: 0cfbef911da76041c1b15f56e450eb2d (MD5)
  Previous issue date: 2009-05",,,,,,,,,,,en_US,Honors Thesis,The Effects of the 2002 Sarbanes-Oxley Act on Small Firms and Entrepreneurship,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14986,"Hofer, Michael",2010-05-05T14:43:26Z,2010-05-05T14:43:26Z,2010-05-05T14:43:26Z,http://hdl.handle.net/1813/14986,,,"Made available in DSpace on 2010-05-05T14:43:26Z (GMT). No. of bitstreams: 1
Thesis for Ecommons Submission.doc: 504832 bytes, checksum: 4706ffd8ceb588b5771dfe11efe6f981 (MD5)",,,,,,,,,,"The United States has a long history of regulating tobacco industry advertising. One such restriction was the 1998 Master Settlement Agreement (MSA). The MSA had three main components: (1) a tax-like increase in cigarette prices, (2) the publication of tobacco industry documents and (3) advertising restrictions. The advertising restrictions are the main focus of this study and include, among other restrictions,  the elimination of “youth targeted” advertisements, cartoon advertisements (such as Joe Camel), and outdoor advertisements.. These rulings had large ramifications on the tobacco industry but not all companies reacted in the same manner. This study sought to determine how the MSA affected the number of tobacco advertisements in all magazines as well as only in magazines with high youth-exposure. Additionally, it compared the reactions of Philip Morris and RJ Reynolds to the MSA in relation to each of the aforementioned subsets of advertisements. As predicted, after the MSA the number of advertisements increased in the short term but, concurrently, in the long run the rate at which advertisements were placed decreased. Additionally, Philip Morris followed the above trend but RJ Reynolds reacted in a radically differently manner; in such that they decreased their advertisements in the short run but decreased the rate at which their number of advertisements fell in the long term. Overall, this study confirms previous findings that the MSA led to major changes in the manner in which s the cigarette industry advertised, and that the two largest cigarette manufacturers reacted differently to the new regulations.",,Smoking,No More Youth Advertising? The Reaction of the Tobacco Companies to the Master Settlement Agreement,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14990,"Mack, Rachel",2010-05-11T14:55:05Z,2010-05-11T14:55:05Z,2010-05-11,http://hdl.handle.net/1813/14990,,,"Made available in DSpace on 2010-05-11T14:55:05Z (GMT). No. of bitstreams: 1
RachelMack_Thesis.doc: 211968 bytes, checksum: 90f9d355445b3208a1622ab8bef34c63 (MD5)
  Previous issue date: 2010-05-11",,,,,,,,,,"Associations between attachment style, hook up behavior, and gender were tested in two studies of undergraduate students using online survey and diary methods. Study 1 (N = 855) consisted of a cross-sectional investigation of attachment style, sexual history, and gender. Study 2 (N = 229) consisted of a weekly diary study completed over the course of an academic semester (12 weeks) to explore the relationship between hooking up and changes in weekly feelings of attachment security, avoidance, and anxiety, using the State Adult Attachment Measure (Gillath, Hart, Noftle, & Stockdale, 2009). Participants with sexual histories that included only hook up partners and no romantic/committed sexual partners rated themselves highest on both attachment avoidance and anxiety. In the diary study, weekly feelings of security and avoidance increased on weeks when a hook up occurred, and there was an interaction between hook up and week on changes in weekly feelings of anxiety. Limitations and future directions for this line of research are discussed.",en_US,hooking up,Hooking Up: An Investigation of Attachment Style and Casual Sex in a College Student Sample,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14992,"Bogdan, Bradley",2010-05-12T20:04:46Z,2010-05-12T20:04:46Z,2010-04-25,http://hdl.handle.net/1813/14992,,,"Made available in DSpace on 2010-05-12T20:04:46Z (GMT). No. of bitstreams: 1
Bradley Bogdan Final Thesis Revised.pdf: 403321 bytes, checksum: 8ddf60bab301d3466468594233ed1ec8 (MD5)
  Previous issue date: 2010-04-25",,,,,,,,,,"Previous research on preferences has indicated that young adults may construct their preferences as a result of their choices. In the present study, the author investigated the effects of aging on preference construction. 80 younger adults and 80 older adults rated how desirable and important they found various vacation attributes, made a choice between two vacation options, and then rated the attributes again. Results suggest that older and younger adults show a similar pattern of preference shift to support their choice, with partial evidence suggesting that older adults shift their preferences slightly more toward the positive.",en_US,Socioemotional Selectivity Theory,The Effect of Choice on Older Adult Preferences,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14994,"Eisner, Courtney",2010-05-15T02:50:28Z,2010-05-15T02:50:28Z,2010-05-15T02:50:28Z,http://hdl.handle.net/1813/14994,,,"Made available in DSpace on 2010-05-15T02:50:28Z (GMT). No. of bitstreams: 1
Courtney Eisner Honors Thesis.doc: 344576 bytes, checksum: 9eb943bd78e5c766f4e239ac68dd327e (MD5)",,,,,,,,,,"This study seeks to investigate the effects of emotion on memory performance.  41 undergraduate Cornell University students participated in the study.  Subjects were given an emotion induction task that induced either positive or neutral moods by viewing and studying pictures of a particular emotional characterization controlled on both valence and arousal dimensions from the International Affective Picture System (IAPS).  To verify mood induction, the Positive Affect Negative Affect Scale (PANAS) was administered shortly before an immediate memory recognition task was given. One week later, subjects completed the PANAS again, and were thereafter given a delayed recognition test to measure the level of performance and degree of forgetting between session one and session two, as well as overall memory performance and types of changes.  Results indicate that on the immediate test, there was a significant type of test item effect since no participants incorrectly identified semantically related or unrelated distractors.  While there was no main effect of condition (emotion) on the immediate test, there was both a type of test item effect as well as a strong condition effect on the delayed recognition task.  Also in the delayed test, acceptance rates of targets decreased for all emotion conditions, but participants in the pleasant high arousal group showed greatest memory for targets relative to positive low arousal and lastly neutral individuals.  Finally, it was concluded that effects of forgetting on a delayed memory test could be attenuated by giving subjects an immediate memory test.",en_US,Memory,Remembering Emotional Pictures,Article,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15028,"Lipton, Melanie",2010-05-21T21:15:03Z,2010-05-21T21:15:03Z,2010-05-21T21:15:03Z,http://hdl.handle.net/1813/15028,,,"Made available in DSpace on 2010-05-21T21:15:03Z (GMT). No. of bitstreams: 1
Lipton Thesis Final Draft.doc: 1999872 bytes, checksum: a95cf8247a07fb2f44743175c90f37ef (MD5)",,,,,,,,,,"Displays of empathy involve recognizing that someone else is experiencing distress and having a desire to alleviate that distress by responding in a variety of ways. Because emotions must be recognized and decoded before this behavior occurs, it seems logical to assume emotional understanding must develop before empathy. Although all major empathy theories state this, there have been few studies actually researching this link. The present study seeks to find a relationship and developmental pathways between these two constructs. Twelve and 24-month old children (N=14) were studied on two main tasks; emotional development, which involved both a recognition and understanding component, and an empathy task where an experimenter feigned being hurt and tried to illicit a response from the infant. Preliminary results showed that infants categorized as high empathy made a greater distinction among emotions, suggesting they may have had greater emotional recognition and understanding. Future research should continue to examine this link and the implications of the relationship between emotional understanding and empathy.",en_US,empathy,Emotion Recognition and Understanding as it Relates to Empathetic Displays of Behavior in 12 and 24-Month Olds,Dissertation or Thesis,,Dr. Marianella Casasola,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/14995,"Chue, Amanda",2010-05-17T03:51:07Z,2010-05-17T03:51:07Z,2010-05-17T03:51:07Z,http://hdl.handle.net/1813/14995,,,"Made available in DSpace on 2010-05-17T03:51:07Z (GMT). No. of bitstreams: 1
Amanda Chue final honors thesis.pdf: 137275 bytes, checksum: 297602d2b5decb1edb3618e18669c190 (MD5)",,,,,,,,,,"The present research investigated the relationships between loneliness and emotional, physical, and cognitive wellbeing in young and older adulthood. Self-report questionnaires were administered to 101 young and 95 older adults. Young adults reported slightly higher loneliness than older adults. Overall, young and older participants who reported the greatest amount of loneliness experienced significantly less positive affect than those reporting the least amount of loneliness. However, higher levels of loneliness were related to increased negative affect only within the older adult group. Increased loneliness was also correlated with poorer reports of physical health exclusively in older adults. No relationships were found between loneliness and fluid cognitive ability or loneliness and information processing style. The exacerbated negative impact of loneliness in older adults is interpreted as an effect of age-related changes in motivation toward socioemotional goals related to the limited future time perspective of older individuals.",en_US,wellbeing,Loneliness and Wellbeing in Young and Older Adulthood,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15015,"Clark, Caitlin",2010-05-21T16:27:33Z,2010-05-21T16:27:33Z,2010-05-21T16:27:33Z,http://hdl.handle.net/1813/15015,,,"Made available in DSpace on 2010-05-21T16:27:33Z (GMT). No. of bitstreams: 1
Clark.Thesis.MagicCausal.Final.docx: 113415 bytes, checksum: 1a9b1e9221a798cc36b74c32804f8ffe (MD5)",,,,,,,,,,"The literature has repeatedly shown that children believe in magic and can distinguish between fantasy and reality (Browne & Woolley, 2004; Harris et al,1991; Phelps & Woolley, 1994; Sharon & Woolley, 2004; Subkotsky, 2001; Taylor & Carlson, 1997; Woolley et al, 2004; Woolley et al, 2006; Woolley & Van Reet, 2006). However, very little research has been done on the context of magical thinking, specifically how children use magic to reason causally.  The present study explored magical causal explanations in 32 preschoolers, broken into 16 3 year-olds and 16 4 year-olds. Children saw blocks activate a special toy either working by contact or at a distance and were then asked to categorize whether the event was magic or electric. They were then asked to activate the toy themselves and then to correct the experimenter’s failed action. Children fell into one of three categories. They were either Inconsistent in their categorizations, Consistent One Responders, or Consistent Discriminators. Consistent Discriminators chose distance as magic and contact as electric. These children also discriminated in their action, using distance for magic. There was also an effect of age on children’s use of magic. Older children were more likely to invoke magic as an explanation.",en_US,Causal Reasoning,Plausible Explanations: Magical Causal Explanations in Preschoolers,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15029,"Wiprovnick, Alicia",2010-05-21T22:24:12Z,2010-05-21T22:24:12Z,2010-05-21T22:24:12Z,http://hdl.handle.net/1813/15029,,,"Made available in DSpace on 2010-05-21T22:24:12Z (GMT). No. of bitstreams: 1
Thesis Full Draft.doc: 340992 bytes, checksum: 01de9afb27a50c88a98e1ce2b3426f9f (MD5)",,,,,,,,,,"Although much research has examined the link between earliest childhood memory and both culture and gender, there is currently no research on the relationship between earliest childhood memory and socioeconomic status.  This study is an exploratory study that investigates potential differences in early childhood memories between people of different socioeconomic status as well as possible reasons for these differences. Participants were college undergraduates at Cornell University and Tompkins Cortland Community College.  Participants reported their earliest childhood memory, as well as another early childhood memory of personal importance.  They also answered questionnaires in order to determine self-construal, parent-child relationship qualities, parental monitoring and parenting style.   These measures were implemented with the intention of explaining possible causes for SES differences in earliest childhood memories.  The results of this study show that people of different SES differ in the age at which their memory occurred, memory theme, emotional valence of the memory and the presence of rules in the memory.  The findings of the current study can be applied to factors involved in inequality.",en_US,parenting,Early Memories: An Investigation of Early Childhood Memories and Socioeconomic Status,Dissertation or Thesis,,Qi Wang,"Item removed from eCommons on 2012-05-17 at the request of the Department of Human Development, College of Human Ecology.",,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15030,"Robustelli, Briana",2010-05-22T13:52:06Z,2010-05-22T13:52:06Z,2010-05-22T13:52:06Z,http://hdl.handle.net/1813/15030,,,"Made available in DSpace on 2010-05-22T13:52:06Z (GMT). No. of bitstreams: 1
Robustelli Thesis.doc: 211456 bytes, checksum: 435fb2cc50ade6e324d5455be01b6de6 (MD5)",,,,,,,,,,"No explanation is perfect.  There are usually data that are anomalous to an explanation.  We investigated two variables, resolving an anomaly and supporting an explanation, that make strong vs. weak anomalies more or less problematic for an explanation.  Participants were given an explanation and an anomaly and then were asked to generate or were given someone else’s resolution to an anomaly or support for an explanation.  Results showed that in certain conditions hearing about rather than generating information made the anomalies seem less problematic for the explanation.  Determining the subtle relationship between these variables is important in understanding what shapes everyday reasoning.",en_US,Confirmation Bias,When the Pieces Do Not Quite Fit: The Role of Anomalous Information in Evaluating Explanations,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15031,"Zember, Eric",2010-05-22T16:05:56Z,2010-05-22T16:05:56Z,2010-05-22T16:05:56Z,http://hdl.handle.net/1813/15031,,,"Made available in DSpace on 2010-05-22T16:05:56Z (GMT). No. of bitstreams: 1
Zember_Honors_Thesis.doc: 1055744 bytes, checksum: 2ca6fc252df9acdb4177b19dc95337d7 (MD5)",,,,,,,,,,"The main purpose of the study was to separate word association from semantic meaning to determine if association makes a separate contribution to false memory in the Deese/Roediger/McDermott (DRM) memory paradigm. Participants were placed in a pleasantness condition (N = 46), where they were focused on processing the meaning of words and an orthographic condition (N = 46). Subjects participated in a DRM memory task that involved listening to lists of words and trying to recall them after study periods. Activation/monitoring theory has associative predictions of the DRM false memory illusion which emphasize that backwards associative strength values of the targets that subjects recall will be strongly related to whether subjects produce the unpresented critical distractor. Relations between inter-word associative strength (associative firing) and false recall were analyzed and the results illustrated that none of the associative theory's predictions are an outcome in the DRM illusion. Strong levels of false memory were found. The pleasantness condition had significantly larger amounts of true memory compared to the orthographic condition. There was a main effect for the memory factor such that targets were recalled more than critical distractors, and critical distractors were recalled more than other distractors. There was no evidence of a separate associative contribution to false recall.",en_US,association,The Influence of Association and Meaning on False Memory,Dissertation or Thesis,Item removed from eCommons on [4-8-2011] at the request of the author.,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15036,"Goetz, Hilary",2010-05-24T21:30:00Z,2010-05-24T21:30:00Z,2010-05-24T21:30:00Z,http://hdl.handle.net/1813/15036,,,"Made available in DSpace on 2010-05-24T21:30:00Z (GMT). No. of bitstreams: 1
hilary goetz thesis.doc: 6673408 bytes, checksum: edeb6833fd7b98c1c91f1aa43db94273 (MD5)",,,,,,,,,,"Objective: With data from a longitudinal study conducted by Reyna, I test whether near-fatalistic/negative expectations for the future predict increased adolescent risk behavior over time.  In the reverse direction, the effect of behavioral experiences on subsequent expectations was also assessed.
 
Methods: Eight-hundred and seven adolescents (M=15.5 years, SD=1.0) completed a questionnaire that included questions about how far they expected to go in school, their perceived likelihood of getting (a girl) pregnant  in the next 6 months, contracting HIV/AIDS, and contracting an STD by age 25. Participants also answered questions about their recent engagement in a range of risk behaviors involving substance use, delinquency and sexual activity.  An identical questionnaire was administered at five time points over the course of one year.  Longitudinal modeling was used to assess the influence of pre-test expectations on subsequent risk behaviors, and conversely, the effect of pre-test behavioral experiences on subsequent expectations for education and health outcomes.  Sociodemographic variables and the criterion at baseline/previous time points were controlled for in all analyses.

Results:  Results showed variable support for the notion of negative/near-fatalistic expectations as predictors of later risky behavior.  A high expectation of teen pregnancy in adolescents proved a marker for involvement in health-jeopardizing behaviors. Pre-test judgments of pregnancy risk significantly predicted increased involvement in later behaviors such as alcohol and drug use, and number of sexual intercourse partners.  Reciprocally, these behavioral experiences at pre-test predicted subsequent perceived risk. Pregnancy expectations also significantly predicted increased truancy, unprotected sex, theft and vandalism; these behaviors were not predictive of pregnancy expectations.  Predictive effects were not seen as strongly or consistently for expectation measures involving educational (non) attainment, STD contraction and HIV/AIDS infection.  Notably, however, expectations for HIV/AIDS infection (both within 6 months and by age 25) predicted smoking and vandalism.  There was a positive reciprocal relationship between expectations for STD contraction (by age 25) and number of partners at multiple time points.  Risky behaviors tended to predict decreased educational expectations, but not vice versa.  Importantly, expectations did not always reflect current involvement in risk behaviors: risky sexual behavior often did not predict increased subsequent expectations for pregnancy, STD and HIV/AIDS contraction.  

Conclusion: Near-fatalistic expectations for the future do predict increased involvement in subsequent risk behaviors.  At-risk individuals may benefit from interventions that promote optimistic orientations for the future, risk-avoidant values, and self-efficacy.",en_US,longitudinal,The Perils of Pessimism: Predictive effects of negative expectations for future health and education outcomes on  adolescent risk behavior,Dissertation or Thesis,This item removed from eCommons on 2011-09-01 at the request of the author. This item reissued (with a replacement copy supplied by the author) at the author’s request on 2016-02-26. Cornell University Library cannot guarantee that the original and replacement items are identical.,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15127,"Johnson, Alyssa",2010-06-13T21:48:15Z,2010-06-13T21:48:15Z,2010-06-13T21:48:15Z,http://hdl.handle.net/1813/15127,,,"Made available in DSpace on 2010-06-13T21:48:15Z (GMT). No. of bitstreams: 1
Thesis_self-regulation in infants.doc: 155648 bytes, checksum: 46a270a0cd66c3c6048354d530e9dbd1 (MD5)",,,,,,,,,,"It has been well documented that, on average, children from low-income families have lower academic achievement than their more well-off peers (Buckner et al. 2009 Duncan, Brooks-Gunn, Yeung, & Smith, 1998; Burney, & Beilke, 2008; Evans 2004; Webster-Stratton et al. 2008). Research into the income achievement gap has primarily focused on the adverse effects of poverty on cognitive processes, however, it seems plausible that deficits in self-regulation abilities may also play an important role in achievement differences between high and low-income children. The present study examines both distractibility and emotional regulation in 12 and 24 month olds. It is hypothesized that children from lower-income households will be less able to regulate their emotions and be more easily distracted. The results are expected to contribute new findings to the early development of achievement differences in children from different economic backgrounds.",,achievement-gap,Effects of Economic Status on Self-Regulation in Infants,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15037,"Smith, Erin",2010-05-25T03:17:06Z,2010-05-25T03:17:06Z,2010-05-25T03:17:06Z,http://hdl.handle.net/1813/15037,,,"Made available in DSpace on 2010-05-25T03:17:06Z (GMT). No. of bitstreams: 1
Erin Smith Final Honors Thesis.doc: 314880 bytes, checksum: 34112f5579b48e88175affa4bb6af13a (MD5)",,,,,,,,,,"Abstract
Eleventh grade students (n = 1,953) in 17 public schools across New York State were surveyed regarding their agricultural perceptions and stereotypes. Four types of schools were targeted for this study: rural and urban schools with agriculture programs, and rural and urban schools without agriculture programs. The purpose of this study was to determine perceptions among high school students about agriculture and careers in agriculture. Results indicated a lack of understanding regarding the importance of a college education for agricultural careers.  The agricultural perception scores of students attending a school with an agriculture program but not enrolled in an agriculture course were similar to the scores of students attending schools without agriculture programs; only the students enrolled in agricultural education courses had significantly higher perception scores. The demographics from the rural schools without agriculture programs indicated an opportunity may exist to expand agriculture programs within these areas. The majority of the population believed no specific individual, media, and/or environment influenced their perception; however those who indicated an influence held more positive perceptions of the field of agriculture.",en_US,agriculture,High School Students’ Perceptions of Agriculture and Agricultural Careers as Delineated by Presence of an Agriculture Program and Rural/Urban Categorization,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15038,"Love, Hailey",2010-05-26T23:31:31Z,2010-05-26T23:31:31Z,2010-05-26T23:31:31Z,http://hdl.handle.net/1813/15038,,,"Made available in DSpace on 2010-05-26T23:31:31Z (GMT). No. of bitstreams: 1
Hailey Love's Honors Thesis.doc: 233472 bytes, checksum: c0934806498e2748976b70f63d42376f (MD5)",,,,,,,,,,"From an early age, infants pay attention to how people emotionally respond to ambiguous stimuli and use this as information to guide their behavior. Recent research has also shown that infants are able to use indirect emotional information (i.e. emotional cues directed at a third party) to regulate their behavior towards strangers and objects. However, all of this research has looked at how anger affects infant’s behavior. In my study, I looked at how 18 month old infants changed their behavior towards an object after seeing an adult researcher react with anger, sadness, or neutral affect. Infants were given a toy to explore and then an adult showed them one particular way to play with the toy. In response to this, another researcher (the emoter) reacted with one of the aforementioned emotions directed towards the accomplice experimenter, and demonstrated another way to play with the toy. Infants were then given back the toy and their imitative behavior was observed.  After doing this three times with three different toys, the emoter pretended to hurt herself on the way out of the room in order to test the infant’s empathetic response. This study hopes to address how infants change their behavior in response to an other-related emotion (sadness) as opposed to a self-related emotion (anger), which could have direct negative consequences for the infant. This could speak to how infant’s develop and act on sympathy as well as the possible mechanisms behind social referencing.",en_US,Sympathy,Differential Behavior Regulation in Infant Social Referencing and Implications for the Development of Sympathy,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15066,"Mildner, Alana",2010-05-28T12:51:46Z,2010-05-28T12:51:46Z,2010-05-28,http://hdl.handle.net/1813/15066,,,"Made available in DSpace on 2010-05-28T12:51:46Z (GMT). No. of bitstreams: 1
Alana Mildner May 2010.thesis.pdf: 1228216 bytes, checksum: 3dd3789b196a7aac8cc7908920231334 (MD5)
  Previous issue date: 2010-05-28",,,,,,,,,,,en_US,Policy Analysis and Management,The Effect of Court-Mandated School Finance Reforms of the 1990s on Distribution of District Expenditures and State Aid,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15067,"Kuk, Kenneth",2010-05-28T12:54:03Z,2010-05-28T12:54:03Z,2010-05-28,http://hdl.handle.net/1813/15067,,,"Made available in DSpace on 2010-05-28T12:54:03Z (GMT). No. of bitstreams: 1
Kenneth Kuk May 2010 thesis.pdf: 1650129 bytes, checksum: 424a0b5e0bb0057039e36d9dfab250df (MD5)
  Previous issue date: 2010-05-28",,,,,,,,,,,en_US,Policy Analysis and Management,New Asian Destinations: A Comparative Study of Traditional Gateways and Emerging Immigrant Destinations,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15068,"Shores, Michael",2010-05-28T12:55:34Z,2010-05-28T12:55:34Z,2010-05-28,http://hdl.handle.net/1813/15068,,,"Made available in DSpace on 2010-05-28T12:55:34Z (GMT). No. of bitstreams: 1
Michael Shores May10 thesis.pdf: 835446 bytes, checksum: d71d38ba0bfe4fa415b46031e3e3d5ed (MD5)
  Previous issue date: 2010-05-28",,,,,,,,,,,en_US,Policy Analysis and Management,Informal Networks and White Collar Crime: An Extended Analysis of the Madoff Scandal,Dissertation or Thesis,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/15070,"Cerrada, Christian",2010-06-02T03:37:02Z,2010-06-02T03:37:02Z,2010-06-02T03:37:02Z,http://hdl.handle.net/1813/15070,,,"Item reinstated by Mira Basara (mb327@cornell.edu) on 2012-05-15T14:44:22Z
Item was in collections:
Human Development (HD) Theses (ID: 412)
Human Development Undergraduate Honors Theses  (ID: 676)
No. of bitstreams: 1
Cerrada Racial Uplifts Scale Final.docx: 63852 bytes, checksum: 604651170fc833fcec89ba58dc0efb65 (MD5)",,,,,,,,,,"The development of the Asian American Racial Uplifts Scale is discussed. The range of positive race-related experiences was explored through an analysis of semi-structured interview data from 20 self-identifying Asian and Asian American students. Using constant comparative analysis, six racial uplift themes were delineated: (a) ethnic bonding, (b) overcoming obstacles, (c) globalism, (d) biculturalism, (e) mainstream regard, and (f) cultural bridging. Implications for racial and ethnic minority psychological well-being are discussed.",en_US,racial uplifts,Development of the Asian American Racial Uplifts Scale,Dissertation or Thesis,,,Item removed from eCommons on 2012-05-15 at the request of the author.,,,,,,,,,,,,,,
